dataset_id,instrument,panel,series_label,time_days_since_fermi_gbm,time_s_since_trigger,value,value_err,value_unit,is_upper_limit,source_arxiv,source_table,source_file,notes
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVU,0.37552662,32445.5,20.3,0.21,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVU,0.57514757,49692.8,20.61,0.27,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVU,1.1083843,95764.4,20.83,0.31,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVV,0.044876736,3877.4,15.56,0.11,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVV,0.046876157,4050.1,15.55,0.11,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVV,0.050292245,4345.2,15.80,0.09,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVV,0.44220428,38206.4,18.07,0.07,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVV,0.6401713,55310.8,18.64,0.10,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVV,0.97523032,84259.9,19.10,0.13,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_uvot_photometry,Swift/UVOT,photometry_mag,UVOT UVV,1.1729485,101342.8,19.54,0.20,native Swift/UVOT mag,false,2302.04388,tab:data:uvot,laskar_uvot_photometry.csv,Native Swift/UVOT magnitude; no Milky Way or host extinction correction.
laskar_lat_flux,Fermi/LAT,energy_flux,LAT 100 MeV-100 GeV,0.042993056,3714.6,2.67e-08,1.43e-08,erg s^-1 cm^-2,false,2302.04388,tab:data:LAT,laskar_lat_flux.csv,Energy flux in the source LAT band; upper limits are preserved as upper limits.
laskar_lat_flux,Fermi/LAT,energy_flux,LAT 100 MeV-100 GeV,0.063475694,5484.3,9.54e-09,2.69e-09,erg s^-1 cm^-2,false,2302.04388,tab:data:LAT,laskar_lat_flux.csv,Energy flux in the source LAT band; upper limits are preserved as upper limits.
laskar_lat_flux,Fermi/LAT,energy_flux,LAT 100 MeV-100 GeV,0.13836516,11954.8,4.44e-09,1.73e-09,erg s^-1 cm^-2,false,2302.04388,tab:data:LAT,laskar_lat_flux.csv,Energy flux in the source LAT band; upper limits are preserved as upper limits.
laskar_lat_flux,Fermi/LAT,energy_flux,LAT 100 MeV-100 GeV,0.20428472,17650.2,1.72e-09,9.79e-10,erg s^-1 cm^-2,false,2302.04388,tab:data:LAT,laskar_lat_flux.csv,Energy flux in the source LAT band; upper limits are preserved as upper limits.
laskar_lat_flux,Fermi/LAT,energy_flux,LAT 100 MeV-100 GeV,0.30160938,26059.0,1.44e-09,7.95e-10,erg s^-1 cm^-2,false,2302.04388,tab:data:LAT,laskar_lat_flux.csv,Energy flux in the source LAT band; upper limits are preserved as upper limits.
laskar_lat_flux,Fermi/LAT,energy_flux,LAT 100 MeV-100 GeV,0.44530093,38474.0,5.7e-10,2.79e-10,erg s^-1 cm^-2,false,2302.04388,tab:data:LAT,laskar_lat_flux.csv,Energy flux in the source LAT band; upper limits are preserved as upper limits.
laskar_lat_flux,Fermi/LAT,energy_flux,LAT 100 MeV-100 GeV,0.65744965,56803.7,4.34e-10,1.8e-10,erg s^-1 cm^-2,false,2302.04388,tab:data:LAT,laskar_lat_flux.csv,Energy flux in the source LAT band; upper limits are preserved as upper limits.
laskar_lat_flux,Fermi/LAT,energy_flux,LAT 100 MeV-100 GeV,0.97066898,83865.8,6.42e-10,,erg s^-1 cm^-2,true,2302.04388,tab:data:LAT,laskar_lat_flux.csv,Energy flux in the source LAT band; upper limits are preserved as upper limits.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW Initial pulse,0.0001437037,12.416,970,517,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW Initial pulse,4.8888889e-05,4.224,1495,666,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW P1,0.0022518519,194.56,1011,54,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW P1,0.0021703704,187.52,1702,110.5,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW P2,0.0024622222,212.736,981,109,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW P2,0.002557037,220.928,2733,137,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW P2,0.0026518519,229.12,3038,118,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW P2,0.0027466667,237.312,1617,32,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW P2,0.0028414815,245.504,1072,31.5,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW P3,0.0029362963,253.696,1886,72,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
konus_band_spectral_fits,Konus-Wind,prompt_epeak,KW P1 + P2 + P3,0.0025362963,219.136,2660,107,keV,false,2302.13383,TableSpec,konus_band_spectral_fits.csv,Prompt Band-function Epeak; no rest-frame or energetics conversion.
